SNID	redshift	err_redshift	ra	dec	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z
101	0.000804	0.00001	210.802267	54.348950	14.728	13.286	12.872	12.654	12.717	0.03	0.03	0.03	0.03	0.03
1015	0.008797	0.00001	39.548167	-1.318694	18.812	17.071	16.243	15.767	15.550	0.03	0.03	0.03	0.03	0.03
1309	0.007138	0.00001	50.527333	-15.400056	15.104	13.962	13.466	13.186	13.012	0.03	0.03	0.03	0.03	0.03
3021	0.00535	0.00001	147.738123	33.553629	15.239	14.052	13.449	13.120	12.861	0.03	0.03	0.03	0.03	0.03
3370	0.004276	0.000010	161.766880	17.273622	17.079	15.974	15.509	15.231	15.066	0.03	0.03	0.03	0.03	0.03
3447	0.003556	0.000003	163.361667	16.778889	17.532	16.336	15.884	15.651	15.553	0.03	0.03	0.03	0.03	0.03
3972	0.002799	0.000033	178.937875	55.320742	16.885	15.695	15.094	14.716	14.607	0.03	0.03	0.03	0.03	0.03
3982	0.00371	0.00001	179.117204	55.125238	15.278	14.167	13.724	13.435	13.273	0.03	0.03	0.03	0.03	0.03
4424	0.00162	0.00009	186.798380	9.420670	13.930	12.904	12.355	11.882	11.852	0.03	0.03	0.03	0.03	0.03
4536	0.00603	0.00001	188.612707	2.188137	16.512	15.305	14.773	14.501	14.431	0.03	0.03	0.03	0.03	0.03
4639	0.00364	0.00002	190.718279	13.257398	18.036	16.916	16.465	16.144	16.124	0.03	0.03	0.03	0.03	0.03
5584	0.005525	0.000010	215.599029	-0.387669	17.005	15.942	15.475	15.164	15.260	0.03	0.03	0.03	0.03	0.03
7250	0.0039	0.00001	334.574167	40.562389	15.353	14.630	14.172	14.088	13.885	0.03	0.03	0.03	0.03	0.03
9391	0.00649	0.00025	218.654250	59.337806	17.805	16.796	16.392	16.212	16.061	0.03	0.03	0.03	0.03	0.03